"Timestamp","Qual sua formação acadêmica?","Com que frequência você realiza trabalhos acadêmicos?","Quais dos seguintes ambientes você utiliza na edição de seus trabalhos?","Quais dos seguintes problemas você possui no momento da edição de trabalhos acadêmicos?","Quais destas opções você gostaria que uma ferramenta de edição fornecesse como ajuda na edição de um trabalho acadêmico?"
"2018/03/01 3:13:00 PM GMT-3","Ensino Superior Incompleto","Moderada","Google Docs;Word","Criação de sumários;Criação de lista de figuras;Numeração de páginas;Criar referências","Modelo de documentos;Compartilhar documento com o orientador;Criação automática de sumários;Verificação de plágio;Gerador de Sumário;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens"
"2018/03/01 3:13:48 PM GMT-3","Ensino Superior Incompleto","Moderada","Word","Criar referências;Fazer citações","Gerador de Referências;Sugestões de erros;Instruções para citações;Verificação de plágio"
"2018/03/01 3:15:26 PM GMT-3","Ensino Superior Completo","Nenhuma","Google Docs;Word;Power point","Fazer citações","Gerador de Referências;Instruções para citações;Verificação de plágio"
"2018/03/01 3:19:41 PM GMT-3","Ensino Superior Incompleto","Moderada","Google Docs;Word","Criação de lista de figuras;Fazer citações;Criar tabelas;Não compreender a ferramenta","Modelo de documentos;Tutorial interativo da Ferramenta;Sugestões de erros;Instruções para citações;Verificação de plágio;Gerador de Sumário;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens"
"2018/03/01 3:25:41 PM GMT-3","Ensino Superior Incompleto","Pouca","Google Docs;Word","Numeração de páginas;Criar referências;Fazer citações","Instruções para citações;Compartilhar documento com o orientador;Verificação de plágio"
"2018/03/01 3:25:58 PM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs;Word","Criação de sumários;Numeração de páginas;Criar referências;Fazer citações","Gerador de Referências;Instruções para citações;Gerador de Gráficos;Criação automática de sumários;Verificação de plágio;Gerador de Sumário"
"2018/03/01 3:27:13 PM GMT-3","Ensino Superior Completo","Intensa","Google Docs;Word","Criar referências","Gerador de Referências;Compartilhar documento com o orientador;Gerador de Gráficos;Criação automática de sumários;Gerador de Tabela de Siglas"
"2018/03/01 3:31:11 PM GMT-3","Ensino Superior Incompleto","Moderada","Google Docs;Word;Libre Office","Criação de sumários","Criação automática de sumários"
"2018/03/01 3:34:44 PM GMT-3","Ensino Médio Completo","Moderada","Google Docs;Word","Criação de lista de figuras;Numeração de páginas","Modelo de documentos;Sugestões de erros;Dicas de formatação;Verificação de plágio;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens"
"2018/03/01 3:36:32 PM GMT-3","Pós-Graduação","Moderada","Word","Criação de sumários;Criação de lista de figuras;Numeração de páginas","Modelo de documentos;Gerador de Referências;Compartilhar documento com o orientador;Criação automática de sumários;Verificação de plágio"
"2018/03/01 3:52:53 PM GMT-3","Ensino Médio Completo","Moderada","Google Docs;Word;Libre Office;OneNote","Criação de sumários;Numeração de páginas;Fazer citações","Modelo de documentos;Instruções para citações;Criação automática de sumários"
"2018/03/01 4:25:02 PM GMT-3","Ensino Superior Incompleto","Pouca","Google Docs","Criação de sumários;Numeração de páginas","Gerador de Referências;Sugestões de erros;Criação automática de sumários"
"2018/03/01 4:28:59 PM GMT-3","Ensino Superior Incompleto","Moderada","Google Docs;Word;Libre Office","Numeração de páginas;Alinhamento do texto","Instruções para citações;Gerador de Gráficos;Criação automática de sumários"
"2018/03/01 4:36:30 PM GMT-3","Ensino Superior Incompleto","Moderada","Google Docs;Word","Criação de sumários;Criação de lista de figuras","Sugestões de erros;Dicas de formatação;Criação automática de sumários;Verificação de plágio"
"2018/03/01 4:40:37 PM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs","Criação de sumários;Numeração de páginas","Modelo de documentos;Gerador de Referências;Instruções para citações;Criação automática de sumários;Verificação de plágio"
"2018/03/01 4:49:16 PM GMT-3","Pós-Graduação","Moderada","Google Docs;Word","Criação de lista de figuras;Numeração de páginas;Criar referências;Fazer citações","Gerador de Referências;Sugestões de erros;Instruções para citações;Compartilhar documento com o orientador;Verificação de plágio;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens"
"2018/03/01 5:29:26 PM GMT-3","Ensino Superior Incompleto","Moderada","Google Docs;Word","Criar referências;Fazer citações","Tutorial interativo da Ferramenta;Sugestões de erros;Instruções para citações;Compartilhar documento com o orientador;Criação automática de sumários;Verificação de plágio"
"2018/03/01 5:35:03 PM GMT-3","Ensino Superior Completo","Nenhuma","Google Docs;Word","Não sei ","Verificação de plágio"
"2018/03/01 5:45:53 PM GMT-3","Ensino Superior Completo","Nenhuma","Google Docs;Word","Fazer citações","Gerador de Referências;Gerador de Gráficos"
"2018/03/01 5:46:46 PM GMT-3","Ensino Superior Incompleto","Moderada","Google Docs;ShareLatex","Procurar um modelo de documento","Modelo de documentos"
"2018/03/01 5:58:03 PM GMT-3","Ensino Superior Completo","Intensa","Google Docs;Word","Criação de sumários;Numeração de páginas;Fazer citações","Instruções para citações;Criação automática de sumários;Verificação de plágio"
"2018/03/01 6:02:18 PM GMT-3","Ensino Superior Completo","Pouca","Google Docs;Word;Libre Office","Criação de sumários;Numeração de páginas;Alinhamento do texto;Criar referências","Gerador de Referências;Compartilhar documento com o orientador;Criação automática de sumários;Verificação de plágio;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens"
"2018/03/01 6:33:06 PM GMT-3","Ensino Superior Incompleto","Pouca","Word","Criação de sumários;Numeração de páginas","Dicas de formatação;Instruções para citações;Verificação de plágio"
"2018/03/01 6:34:52 PM GMT-3","Pós-Graduação","Moderada","Word","Criar tabelas","Gerador de Referências;Compartilhar documento com o orientador;Verificação de plágio"
"2018/03/01 7:20:06 PM GMT-3","Ensino Superior Incompleto","Pouca","Word","Criação de sumários","Dicas de formatação;Instruções para citações;Criação automática de sumários"
"2018/03/01 7:34:42 PM GMT-3","Ensino Superior Completo","Intensa","Google Docs;Word;Libre Office;FastFormat;Quip;Zoho;Only Office;PowerPoint","nenhum","Modelo de documentos;Gerador de Referências;Tutorial interativo da Ferramenta;Instruções para citações;Compartilhar documento com o orientador;Verificação de plágio"
"2018/03/01 11:23:22 PM GMT-3","Pós-Graduação","Intensa","Overleaf ","Criação de template qdo ainda não existe pronto","Verificação de plágio"
"2018/03/01 11:25:51 PM GMT-3","Ensino Superior Incompleto","Pouca","Google Docs;Word","Fazer citações","Gerador de Referências;Sugestões de erros;Dicas de formatação;Verificação de plágio"
"2018/03/01 11:43:36 PM GMT-3","Ensino Superior Incompleto","Pouca","Google Docs;Word","Criação de sumários;Numeração de páginas;Criar tabelas","Sugestões de erros;Dicas de formatação;Instruções para citações;Compartilhar documento com o orientador;Gerador de Gráficos;Verificação de plágio"
"2018/03/01 11:44:58 PM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs;Word","Criação de sumários;Criação de lista de figuras;Numeração de páginas;Criar tabelas","Gerador de Referências;Gerador de Gráficos;Criação automática de sumários"
"2018/03/02 12:18:50 AM GMT-3","Ensino Superior Incompleto","Pouca","Google Docs","Espaçamento do texto;Alinhamento do texto;Criar referências;Fazer citações","Gerador de Referências;Sugestões de erros;Dicas de formatação;Instruções para citações;Verificação de plágio;Gerador de Tabela de Siglas"
"2018/03/02 12:24:59 AM GMT-3","Ensino Superior Incompleto","Moderada","Google Docs;Word;Libre Office","Criação de sumários;Numeração de páginas","Sugestões de erros;Criação automática de sumários"
"2018/03/02 12:28:31 AM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs;Word","Criação de sumários;Criar tabelas;Não compreender a ferramenta","Sugestões de erros;Instruções para citações;Gerador de Gráficos;Verificação de plágio"
"2018/03/02 12:52:50 AM GMT-3","Ensino Superior Incompleto","Moderada","Google Docs;Word","Fazer citações","Sugestões de erros;Dicas de formatação;Verificação de plágio"
"2018/03/02 5:05:49 AM GMT-3","Ensino Médio Completo","Intensa","Google Docs;Word;Libre Office;Planilhas google/ excel","Fazer citações;Não compreender a ferramenta","Modelo de documentos;Dicas de formatação;Instruções para citações"
"2018/03/02 6:26:20 AM GMT-3","Ensino Superior Incompleto","Moderada","Word","Criar referências;Fazer citações","Gerador de Referências;Instruções para citações;Criação automática de sumários"
"2018/03/02 6:52:28 AM GMT-3","Ensino Superior Incompleto","Moderada","Google Docs;Word;Libre Office","Criação de sumários;Criação de lista de figuras;Criar referências;Fazer citações","Modelo de documentos;Gerador de Referências;Tutorial interativo da Ferramenta;Sugestões de erros;Dicas de formatação;Criação automática de sumários;Gerador de Tabela de Siglas"
"2018/03/02 7:22:56 AM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs;Word;Libre Office","Criação de lista de figuras;Criar referências","Gerador de Referências;Dicas de formatação;Criação automática de sumários;Verificação de plágio"
"2018/03/02 8:26:01 AM GMT-3","Pós-Graduação","Intensa","Google Docs;Word;overleaf (Latex) e sharelatex","Criar referências;depende da ferramenta a ser utilizada e meu nível de conhecimento, mas consideremo mais chato fazer isso em ferramentas como google docs e word.","Gerador de Referências;Compartilhar documento com o orientador;Verificação de plágio"
"2018/03/02 8:43:52 AM GMT-3","Ensino Superior Incompleto","Pouca","Word","Fazer citações","Verificação de plágio"
"2018/03/02 8:49:04 AM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs;Word;Libre Office","Criação de lista de figuras;Numeração de páginas;Criar referências;Fazer citações","Gerador de Referências;Dicas de formatação;Instruções para citações;Verificação de plágio"
"2018/03/02 9:44:58 AM GMT-3","Ensino Superior Incompleto","Pouca","Google Docs;Word","Escrita do texto","Sugestões de erros;Verificação de plágio;Gerador de Tabela de Siglas"
"2018/03/02 10:49:18 AM GMT-3","Ensino Superior Incompleto","Moderada","Word;Libre Office","Criação de sumários;Numeração de páginas;Espaçamento do texto;Alinhamento do texto","Dicas de formatação"
"2018/03/02 10:49:28 AM GMT-3","Ensino Superior Completo","Pouca","Google Docs;Word","Criação de lista de figuras;Criar referências;Fazer citações","Tutorial interativo da Ferramenta;Criação automática de sumários;Verificação de plágio"
"2018/03/02 11:42:15 AM GMT-3","Ensino Superior Incompleto","Intensa","Word","Numeração de páginas;Criar referências;Fazer citações","Gerador de Referências;Sugestões de erros;Instruções para citações;Criação automática de sumários;Verificação de plágio"
"2018/03/02 12:36:37 PM GMT-3","Ensino Superior Incompleto","Intensa","Word","Não compreender a ferramenta","Tutorial interativo da Ferramenta"
"2018/03/02 12:57:51 PM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs;Word","Criação de sumários;Criação de lista de figuras;Numeração de páginas;Espaçamento do texto;Alinhamento do texto","Modelo de documentos;Gerador de Referências;Sugestões de erros;Dicas de formatação;Instruções para citações;Compartilhar documento com o orientador;Gerador de Gráficos;Criação automática de sumários;Verificação de plágio;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens"
"2018/03/02 1:16:59 PM GMT-3","Ensino Fundamental Completo","Pouca","Bloco de notas","Começar o trabalho","Entregar o trabalho pronto"
"2018/03/02 3:00:49 PM GMT-3","Ensino Superior Incompleto","Moderada","Word","Criação de sumários","Modelo de documentos;Gerador de Referências;Tutorial interativo da Ferramenta;Sugestões de erros;Dicas de formatação;Instruções para citações;Compartilhar documento com o orientador;Gerador de Gráficos;Criação automática de sumários;Verificação de plágio;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens"
"2018/03/02 3:04:04 PM GMT-3","Ensino Superior Incompleto","Moderada","Google Docs;Word","Numeração de páginas;Fazer citações","Modelo de documentos;Instruções para citações;Verificação de plágio"
"2018/03/02 3:09:40 PM GMT-3","Ensino Superior Incompleto","Intensa","Word","Criação de sumários;Criação de lista de figuras;Fazer citações","Modelo de documentos;Gerador de Referências;Tutorial interativo da Ferramenta;Sugestões de erros;Dicas de formatação;Instruções para citações;Gerador de Gráficos;Criação automática de sumários;Verificação de plágio;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens"
"2018/03/02 3:15:56 PM GMT-3","Ensino Superior Incompleto","Moderada","Word;Only Office","Criação de lista de figuras;Criar referências;Fazer citações;Criar tabelas","Modelo de documentos;Gerador de Referências;Instruções para citações;Criação automática de sumários;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens"
"2018/03/02 3:34:55 PM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs","Criação de sumários;Criação de lista de figuras;Numeração de páginas;Criar tabelas","Modelo de documentos;Gerador de Referências;Tutorial interativo da Ferramenta;Sugestões de erros;Gerador de Gráficos;Criação automática de sumários"
"2018/03/02 3:47:24 PM GMT-3","Ensino Superior Incompleto","Moderada","Google Docs;Word;LateX","Numeração de páginas;Não compreender a ferramenta;Difícil configuração da ferramenta para as normas que exigem do trabalho","Modelo de documentos;Gerador de Referências;Compartilhar documento com o orientador;Gerador de Gráficos;Criação automática de sumários;Verificação de plágio;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens"
"2018/03/02 4:00:27 PM GMT-3","Ensino Superior Incompleto","Pouca","Google Docs;Word","Criação de sumários;Criação de lista de figuras;Numeração de páginas;Criar referências","Modelo de documentos;Gerador de Referências;Tutorial interativo da Ferramenta;Criação automática de sumários;Verificação de plágio;Verificador de plágio......seria meu sonho???"
"2018/03/02 5:12:07 PM GMT-3","Pós-Graduação","Moderada","Latex","Certas dificuldades em ajustar um layout em latex de uma determinada conferência ou instituição de ensino.","Verificação de plágio"
"2018/03/02 5:25:06 PM GMT-3","Ensino Superior Incompleto","Intensa","Word","Fazer citações","Modelo de documentos;Gerador de Referências;Dicas de formatação;Instruções para citações;Compartilhar documento com o orientador;Gerador de Gráficos;Verificação de plágio"
"2018/03/02 5:55:10 PM GMT-3","Ensino Superior Incompleto","Intensa","Word","Criação de sumários;Numeração de páginas;Fazer citações","Gerador de Referências;Tutorial interativo da Ferramenta;Sugestões de erros;Verificação de plágio"
"2018/03/02 8:07:17 PM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs;Libre Office","Criar referências;Fazer citações;Criar tabelas","Gerador de Referências;Instruções para citações;Gerador de Tabela de Imagens"
"2018/03/02 8:27:30 PM GMT-3","Ensino Superior Incompleto","Moderada","Google Docs;Word","Criação de sumários;Criar tabelas","Sugestões de erros;Dicas de formatação"
"2018/03/02 9:33:04 PM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs;Word","Criação de sumários;Numeração de páginas;Não compreender a ferramenta","Modelo de documentos;Tutorial interativo da Ferramenta;Sugestões de erros;Dicas de formatação;Instruções para citações;Criação automática de sumários;Verificação de plágio"
"2018/03/02 11:22:37 PM GMT-3","Ensino Médio Completo","Intensa","Google Docs;Word","Criação de sumários;Criação de lista de figuras;Numeração de páginas","Modelo de documentos;Dicas de formatação;Criação automática de sumários;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens"
"2018/03/02 11:42:01 PM GMT-3","Ensino Superior Incompleto","Moderada","Google Docs;Word","Nenhuma das opções","Verificação de plágio"
"2018/03/03 10:30:50 AM GMT-3","Ensino Superior Incompleto","Pouca","Word","Numeração de páginas;Criar referências;Fazer citações;Não compreender a ferramenta","Modelo de documentos;Gerador de Referências;Sugestões de erros;Dicas de formatação;Criação automática de sumários;Verificação de plágio"
"2018/03/03 10:42:40 AM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs;Word","Criação de sumários;Numeração de páginas;Criar referências;Criar tabelas","Modelo de documentos;Gerador de Referências;Sugestões de erros;Dicas de formatação;Instruções para citações;Criação automática de sumários;Verificação de plágio;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens"
"2018/03/03 11:17:13 AM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs;Word","Criação de sumários","Modelo de documentos;Gerador de Referências;Sugestões de erros;Dicas de formatação;Instruções para citações;Compartilhar documento com o orientador;Criação automática de sumários;Verificação de plágio"
"2018/03/03 11:46:45 AM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs;Word","Criação de sumários;Criação de lista de figuras;Criar referências;Fazer citações","Tutorial interativo da Ferramenta;Dicas de formatação;Criação automática de sumários;Verificação de plágio"
"2018/03/03 1:30:41 PM GMT-3","Ensino Superior Incompleto","Pouca","Word","Criar referências;Fazer citações","Instruções para citações"
"2018/03/03 10:41:17 PM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs;Word","Criação de sumários;Fazer citações","Sugestões de erros;Instruções para citações;Criação automática de sumários;Verificação de plágio"
"2018/03/04 8:13:13 AM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs;Word;Libre Office;Only Office","Criação de sumários;Criação de lista de figuras;Numeração de páginas;Espaçamento do texto;Criar referências;Fazer citações;Não compreender a ferramenta","Modelo de documentos;Tutorial interativo da Ferramenta;Verificação de plágio"
"2018/03/04 5:20:59 PM GMT-3","Ensino Superior Incompleto","Pouca","Word","Um pocuo de cada","um pouco de cada"